,alg_name,dataset_name,Accuracy__test_median,Accuracy__test_mean,training_time_median,training_time_mean,train_per_1000_inst_median_Accuracy,train_per_1000_inst_mean_Accuracy,Accuracy__test_mean_min,Accuracy__test_mean_max,normalized_Accuracy__test_mean,normalized_Accuracy__test_std,Accuracy_rank_mean,normalized_F1__test_mean,normalized_F1__test_std,train_per_1000_inst_median_F1,train_per_1000_inst_mean_F1,F1_rank_mean,F1__test_mean,F1__test_mean_min,F1__test_mean_max,normalized_Log Loss__test_mean,normalized_Log Loss__test_std,train_per_1000_inst_median_Log Loss,train_per_1000_inst_mean_Log Loss,Log Loss_rank_mean,Log Loss__test_mean,Log Loss__test_mean_min,Log Loss__test_mean_max,normalized_AUC__test_mean,normalized_AUC__test_std,train_per_1000_inst_median_AUC,train_per_1000_inst_mean_AUC,AUC_rank_mean,AUC__test_mean,AUC__test_mean_min,AUC__test_mean_max,alg_type
3147,TabPFN,openml__dna__167140,0.5015723270440251,0.5006378028824352,0.0145119999999998,0.01484356999999999,0.005692100085385194,0.005823755944167807,0.5006378028824352,0.9610752942568166,0.0,0.02650795967870612,22.0,0.0,0.02824258922995114,0.005692100085385194,0.005823755944167807,22.0,0.3798421431440664,0.3798421431440664,0.9602680041663476,0.9285439724789305,0.16609990289358942,0.005692100085385194,0.005823755944167807,21.0,3.402922677867502,0.11944780769263978,3.6556022252470193,0.028694578480100947,0.09531869794329444,0.005692100085385194,0.005823755944167807,21.0,0.5184697384223136,0.5044181028261849,0.9941146357748446,pfn
3148,TabPFN,openml__dresses-sales__125920,0.58,0.578,0.0005467244999994,0.00057218039999978,0.0013668112499985,0.00143045099999945,0.538,0.624,0.46511627906976677,0.13201074702268498,18.0,0.46511627906976677,0.13201074702268498,0.0013668112499985,0.00143045099999945,18.0,0.578,0.538,0.624,0.019001993700009073,0.01791622344740964,0.0010392500000009999,0.00110085199999985,8.0,0.6788525874063549,0.6698793045133352,1.142107799832508,0.563487419543593,0.6908709625565428,0.00099150000000025,0.0010640077499999999,13.0,0.5686371100164204,0.48957307060755334,0.6298850574712643,pfn
3149,TabPFN,openml__ecoli__145977,0.8507130124777184,0.8511586452762924,0.0003994195000025,0.00041210490000068,0.001482052671081838,0.0015333660637153559,0.4256684491978609,0.8721033868092691,0.9530844479936117,0.19397931059354018,9.0,0.9600961300893076,0.14396057549522104,0.001482052671081838,0.0015333660637153559,9.0,0.8428792529220894,0.2543311812152327,0.8673407052220738,0.021038966665464218,0.047179869978858306,0.0011747954671100192,0.0013686977631381502,6.0,0.6179923403928979,0.4780653914987025,7.128912418310509,0.9953103820753796,0.11308295452042262,0.0012917462686597016,0.0013045851235585339,3.0,0.9392388321995465,0.5269257713799805,0.941181533446712,pfn
3150,TabPFN,openml__electricity__219,0.8087827300524406,0.8087703411411395,0.0023286500000008004,0.00240180000000119,6.424038295575234e-05,6.625725624797797e-05,0.6948269818410896,0.9381400474869308,0.4682993862150514,0.023794752147533738,13.0,0.4682993862150514,0.023794752147533738,6.424038295575234e-05,6.625725624797797e-05,13.0,0.8087703411411395,0.6948269818410896,0.9381400474869308,0.6004407752020177,0.022690578536706783,6.424038295575234e-05,6.625725624797797e-05,12.0,0.41828747082039336,0.16310245232071513,0.588098603546157,0.4633371998329856,0.03077393703046315,6.424038295575234e-05,6.625725624797797e-05,13.0,0.8891653149671577,0.8068537091656411,0.9845031744604341,pfn
3151,TabPFN,openml__elevators__3711,0.8900273789552423,0.8888488492850243,0.0010527499999994,0.00109681000000059,7.927931320125009e-05,8.259607388062587e-05,0.7007046994487898,0.9045726123299709,0.9228727913935589,0.05058693295751141,7.0,0.9228727913935589,0.05058693295751141,7.927931320125009e-05,8.259607388062587e-05,7.0,0.8888488492850243,0.7007046994487898,0.9045726123299709,0.09732490362045496,0.046063722459227505,7.927931320125009e-05,8.259607388062587e-05,7.0,0.27199487368535913,0.23887561586407266,0.5791714352202784,0.9891806348769647,0.02237412865688601,7.927931320125009e-05,8.259607388062587e-05,3.0,0.9469524745977573,0.6708831358373428,0.9499720393466117,pfn
3152,TabPFN,openml__eucalyptus__2079,0.6939096630877453,0.6969825990373936,0.00074527199999955,0.0008115690999999901,0.0012664101382480852,0.0013781311363701598,0.33954091077378745,0.6996853017400962,0.9924955024415318,0.1085671265053082,2.0,0.9915022379598262,0.09144392647712173,0.0011706802721085034,0.001179424163003728,2.0,0.6880373603799748,0.21079627580136379,0.6921275994306584,5.5526153694016976e-05,0.0037956520744113543,0.0010043220338958475,0.0010335128422818449,2.0,0.6578341471956664,0.656927010340323,16.994036552309687,0.9995745792411246,0.033429422060449084,0.0010354373111566854,0.0010779277828588396,2.0,0.9296846890483254,0.556042499587954,0.9298437118437117,pfn
3153,TabPFN,openml__fertility__9984,0.9,0.8700000000000001,0.0003669139999997,0.00039564229999977,0.00458642499999625,0.004945528749997125,0.73,0.8800000000000001,0.9333333333333333,0.32203059435976494,11.0,0.9333333333333332,0.3220305943597648,0.00458642499999625,0.004945528749997125,11.0,0.8700000000000001,0.7300000000000001,0.8800000000000001,0.0007531185708114702,0.012226967958835776,0.004472937499988125,0.004265204999995125,3.0,0.3826557606922841,0.3764602630756741,8.602917366549374,0.7191011235955057,0.8691887040742113,0.00458642499999625,0.00478251499999625,5.0,0.5895833333333333,0.32291666666666663,0.69375,pfn
3154,TabPFN,openml__fl2000__3566,0.9285714285714286,0.8952380952380953,0.0004039560000004,0.00042638150000037995,0.007488126243573105,0.007963730508869319,0.5547619047619048,0.8952380952380953,1.0,0.3717930449860491,1.0,1.0,0.4177068186725463,0.007488126243573105,0.007963730508869319,1.0,0.8561904761904762,0.43292929292929294,0.8561904761904762,0.05025654108369504,0.14889984613617344,0.007488126243573105,0.007963730508869319,6.0,1.2901125270995268,0.596529882628515,14.397373106517515,1.0,0.24011932259737634,0.007488126243573105,0.007963730508869319,1.0,0.9270833333333333,0.4995833333333334,0.9270833333333333,pfn
3155,TabPFN,openml__fri_c0_100_5__3620,0.8500000000000001,0.8699999999999999,0.0003849874999994,0.00040549780000012,0.004812343749992501,0.005068722500001501,0.49000000000000005,0.9099999999999999,0.9047619047619047,0.25222616796937636,4.0,0.9047619047619047,0.25222616796937614,0.004812343749992501,0.005068722500001501,4.0,0.8700000000000001,0.49000000000000005,0.9100000000000001,0.0031270278376349797,0.020547403297146223,0.004135568750006875,0.00423947625000025,3.0,0.2933742809387158,0.2701603808248162,7.693791163548086,0.9019138755980858,0.2671100878668488,0.004812343749992501,0.0048876825000012504,8.0,0.9386666666666666,0.7501666666666666,0.9591666666666667,pfn
3156,TabPFN,openml__fri_c3_100_5__3779,0.9,0.86,0.0003435529999995,0.00039031939999962,0.0042944124999937505,0.0048789924999952505,0.6,0.89,0.8965517241379309,0.3706785171631517,6.0,0.8965517241379309,0.37067851716315164,0.0042944124999937505,0.0048789924999952505,6.0,0.86,0.6,0.89,0.0016408513473268117,0.031383233215905325,0.0035068750000024997,0.00423080999999925,2.0,0.27706824809007136,0.2710077235362902,3.9645321635500856,1.0,0.1805448766816187,0.0044028500000068745,0.004886304999996375,1.0,0.959,0.6759999999999999,0.959,pfn
